#country,share,cumulative
United States,32.49940048339738,32.49940048339738
Brazil,20.87452476741409,53.37392525081147
Mexico,12.669177190154134,66.0431024409656
Colombia,4.999976606861676,71.04307904782728
Argentina,4.440032268602899,75.48311131643018
Canada,3.7075335704040726,79.19064488683425
Peru,3.241711352546825,82.43235623938108
Venezuela,2.7877147829715567,85.22007102235264
Chile,1.877787811052847,87.09785883340548
Guatemala,1.7627128931296594,88.86057172653514
Ecuador,1.7349762816627232,90.59554800819787
Bolivia,1.1476082212923795,91.74315622949024
Haiti,1.1207477000204789,92.86390392951071
Cuba,1.1108446047963705,93.97474853430708
Dominican Republic,1.0658509193253247,95.04059945363241
Honduras,0.9741092101355396,96.01470866376795
Paraguay,0.7010637149345317,96.71577237870248
Nicaragua,0.6510918519266721,97.36686423062915
El Salvador,0.6367566152288664,98.00362084585801
Costa Rica,0.5004422970578798,98.50406314291588
Panama,0.4243423092723348,98.92840545218822
Uruguay,0.3409260071307582,99.26933145931898
Jamaica,0.29066626629907105,99.55999772561805
Trinidad and Tobago,0.13734597028376996,99.69734369590182
Guyana,0.0772135404035741,99.7745572363054
Suriname,0.057628628446175875,99.83218586475158
Belize,0.03912048744277423,99.87130635219435
Bahamas,0.03863477330867046,99.90994112550302
Barbados,0.02819309643868845,99.93813422194171
Saint Lucia,0.018025369402420468,99.95615959134413
Grenada,0.01104568083561428,99.96720527217974
St. Vincent & Grenadines,0.010887568722493262,99.97809284090224
Antigua and Barbuda,0.009619042693340586,99.98771188359558
Dominica,0.007063746929675116,99.99477563052525
Saint Kitts & Nevis,0.005224369474738122,99.99999999999999
